Date,,Prev. Hobbs,Hobbs,L. Cycles,R.Cycles,Landings,T.T. A/C,Engine TS Overhaul,Engine TSO,Propeller TS New,Propeller TSO,,Flight Time,Cycle/Hour,,,,
6/26/1985,,, 5.20 ,,,, 5.20 ,, -   , 5.20 ,,,,,,,,
11/22/1999,, 5.20 ," 2,743.55 ",,,," 2,743.55 ",," 2,738.35 "," 2,743.55 ",,," 2,738.35 ",,,,,
11/22/1999,," 2,743.6 ",0.0 ,,,," 2,743.6 ",, (5.2)," 2,743.6 ",,," (2,743.6)",,New Hobbs,,,
10/2/2000,, -   , 238.2 ,,,," 2,981.8 ",, 233.0 ," 2,981.8 ",,, 238.2 ,,,,,
12/1/2001,, 238.2 , 344.0 ,,,," 3,087.6 ",, 338.8 ," 3,087.6 ", -   ,, 105.8 ,,Propeller Overhaul,,,
1/10/2003,, 344.0 , 427.6 ,,,," 3,171.2 ",, 422.4 ," 3,171.2 ", 83.6 ,, 83.6 ,,,,,
6/11/2004,, 427.6 , 522.0 ,,,," 3,265.6 ",, 516.8 ," 3,265.6 ", 178.0 ,, 94.4 ,,,,,
5/30/2012,, 522.0 , 993.7 ,,,," 3,737.3 ",0.0 , 988.5 ," 3,737.3 ", 649.7 ,, 471.7 ,,Engine Overhaul,,,
7/16/2012,, 993.7 , 993.7 ,,,," 3,746.3 ", 9.1 , 988.5 ," 3,746.3 ", 658.7 ,, -   ,, Hobbs Disconnected for 9.0 Hours ,Adjusted for Tornada Alley Mistake,,
9/1/2016,, 993.7 ," 1,274.9 ",,,," 4,027.5 ", 290.3 ," 1,269.7 "," 4,027.5 ",0.0 ,, 281.2 ,, Propeller Overhaul ,,,
1/1/2017,," 1,274.9 "," 1,313.7 ",,,," 4,066.3 ", 329.1 ," 1,308.5 "," 4,066.3 ", 38.8 ,, 38.8 ,,,,,
2/27/2017,," 1,313.7 "," 1,333.1 ",,,," 4,085.7 ", 348.5 ," 1,327.9 "," 4,085.7 ", 58.2 ,, 19.4 ,,,,,
3/3/2017,," 1,333.1 "," 1,337.8 ",,,," 4,090.4 ", 353.2 ," 1,332.6 "," 4,090.4 ", 62.9 ,, 4.7 ,,,,,
3/13/2017,," 1,337.8 "," 1,346.3 ",,,," 4,098.9 ", 361.7 ," 1,341.1 "," 4,098.9 ", 71.4 ,, 8.5 ,,,,,
3/25/2017,," 1,346.3 "," 1,350.3 ",,,," 4,102.9 ", 365.7 ," 1,345.1 "," 4,102.9 ", 75.4 ,, 4.0 ,,,,,
4/5/2017,," 1,350.3 "," 1,355.4 ",,,," 4,108.0 ", 370.8 ," 1,350.2 "," 4,108.0 ", 80.5 ,, 5.1 ,,,,,
4/9/2017,," 1,355.4 "," 1,359.7 ",,,," 4,112.3 ", 375.1 ," 1,354.5 "," 4,112.3 ", 84.8 ,, 4.3 ,,,,,
4/25/2017,," 1,359.7 "," 1,363.1 ",,,," 4,115.7 ", 378.5 ," 1,357.9 "," 4,115.7 ", 88.2 ,, 3.4 ,,,,,
5/1/2017,," 1,363.1 "," 1,363.8 ",,,," 4,116.4 ", 379.2 ," 1,358.6 "," 4,116.4 ", 88.9 ,, 0.7 ,,,,,
5/7/2017,," 1,363.8 "," 1,363.8 ",,,," 4,116.4 ", 379.2 ," 1,358.6 "," 4,116.4 ", 88.9 ,, -   ,,,,,
5/13/2017,," 1,363.8 "," 1,366.9 ",,,," 4,119.5 ", 382.3 ," 1,361.7 "," 4,119.5 ", 92.0 ,, 3.1 ,,,,,
5/21/2017,," 1,366.9 "," 1,366.9 ",,,," 4,119.5 ", 382.3 ," 1,361.7 "," 4,119.5 ", 92.0 ,, -   ,,,,,
5/29/2017,," 1,366.9 "," 1,366.9 ",,,," 4,119.5 ", 382.3 ," 1,361.7 "," 4,119.5 ", 92.0 ,, -   ,,,,,
6/3/2017,," 1,366.9 "," 1,370.4 ",,,," 4,123.0 ", 385.8 ," 1,365.2 "," 4,123.0 ", 95.5 ,, 3.5 ,,,,,
6/10/2017,," 1,370.4 "," 1,373.4 ",,,," 4,126.0 ", 388.8 ," 1,368.2 "," 4,126.0 ", 98.5 ,, 3.0 ,,,,,
6/20/2017,," 1,373.4 "," 1,373.4 ",,,," 4,126.0 ", 388.8 ," 1,368.2 "," 4,126.0 ", 98.5 ,, -   ,,,,,
6/24/2017,," 1,373.4 "," 1,373.4 ",,,," 4,126.0 ", 388.8 ," 1,368.2 "," 4,126.0 ", 98.5 ,, -   ,,,,,
7/1/2017,," 1,373.4 "," 1,373.4 ",,,," 4,126.0 ", 388.8 ," 1,368.2 "," 4,126.0 ", 98.5 ,, -   ,,,,,
7/8/2017,," 1,373.4 "," 1,373.4 ",,,," 4,126.0 ", 388.8 ," 1,368.2 "," 4,126.0 ", 98.5 ,, -   ,,,,,
7/15/2017,," 1,373.4 "," 1,373.4 ",,,," 4,126.0 ", 388.8 ," 1,368.2 "," 4,126.0 ", 98.5 ,, -   ,,,,,
7/29/2017,," 1,373.4 "," 1,373.4 ",,,," 4,126.0 ", 388.8 ," 1,368.2 "," 4,126.0 ", 98.5 ,, -   ,,,,,
8/6/2017,," 1,373.4 "," 1,373.4 ",,,," 4,126.0 ", 388.8 ," 1,368.2 "," 4,126.0 ", 98.5 ,, -   ,,,,,
8/12/2017,," 1,373.4 "," 1,373.4 ",,,," 4,126.0 ", 388.8 ," 1,368.2 "," 4,126.0 ", 98.5 ,, -   ,,,,,
8/19/2017,," 1,373.4 "," 1,376.5 ",,,," 4,129.1 ", 391.9 ," 1,371.3 "," 4,129.1 ", 101.6 ,, 3.1 ,,,,,
8/26/2017,," 1,376.5 "," 1,377.0 ",,,," 4,129.6 ", 392.4 ," 1,371.8 "," 4,129.6 ", 102.1 ,, 0.5 ,,,,,
9/5/2017,," 1,377.0 "," 1,377.0 ",,,," 4,129.6 ", 392.4 ," 1,371.8 "," 4,129.6 ", 102.1 ,, -   ,,,,,
9/9/2017,," 1,377.0 "," 1,379.9 ",,,," 4,132.5 ", 395.3 ," 1,374.7 "," 4,132.5 ", 105.0 ,, 2.9 ,,,,,
9/16/2017,," 1,379.9 "," 1,379.9 ",,,," 4,132.5 ", 395.3 ," 1,374.7 "," 4,132.5 ", 105.0 ,, -   ,,,,,
9/23/2017,," 1,379.9 "," 1,379.9 ",,,," 4,132.5 ", 395.3 ," 1,374.7 "," 4,132.5 ", 105.0 ,, -   ,,,,,
10/6/2017,," 1,379.9 "," 1,379.9 ",,,," 4,132.5 ", 395.3 ," 1,374.7 "," 4,132.5 ", 105.0 ,, -   ,,,,,
10/21/2017,," 1,379.9 "," 1,382.5 ",,,," 4,135.1 ", 397.9 ," 1,377.3 "," 4,135.1 ", 107.6 ,, 2.6 ,,,,,
11/6/2017,," 1,382.5 "," 1,382.5 ",,,," 4,135.1 ", 397.9 ," 1,377.3 "," 4,135.1 ", 107.6 ,, -   ,,,,,
11/13/2017,," 1,382.5 "," 1,387.8 ",,,," 4,140.4 ", 403.2 ," 1,382.6 "," 4,140.4 ", 112.9 ,, 5.3 ,,,,,
