Date,Type,Prev. Hobbs,Hobbs,L. Cycles,R.Cycles,Landings,T.T. A/C,L. Eng. TSO,R. Eng. TSO,L. Eng. CSN,R. Eng. CSN,Landings,Flight Time,Notes, L. Eng. S New , R Eng. S New 
9/18/2000,,,0.0 ,,,," 7,869.3 ",,,,," 7,869 ",,,,
10/2/2000,,0.0, 6.4 ,4,4,4," 7,875.7 ", 6.4 , 6.4 , 4 , 4 ," 7,873 ", 6.40 ,,,
10/9/2000,, 6.4 , 11.5 ,4,4,4," 7,880.8 ", 11.5 , 11.5 , 8 , 8 ," 7,877 ", 5.10 ,,,
10/18/2000,, 11.5 , 17.0 ,5,5,5," 7,886.3 ", 17.0 , 17.0 , 13 , 13 ," 7,882 ", 5.50 ,,,
10/30/2000,, 17.0 , 22.4 ,4,4,4," 7,891.7 ", 22.4 , 22.4 , 17 , 17 ," 7,886 ", 5.40 ,,,
10/31/2000,, 22.4 , 31.3 ,4,4,4," 7,900.6 ", 31.3 , 31.3 , 21 , 21 ," 7,890 ", 8.90 ,,,
11/6/2000,, 31.3 , 32.9 ,2,2,2," 7,902.2 ", 32.9 , 32.9 , 23 , 23 ," 7,892 ", 1.60 ,,,
11/9/2000,, 32.9 , 34.4 ,2,2,2," 7,903.7 ", 34.4 , 34.4 , 25 , 25 ," 7,894 ", 1.50 ,,,
11/10/2000,, 34.4 , 36.1 ,2,2,2," 7,905.4 ", 36.1 , 36.1 , 27 , 27 ," 7,896 ", 1.70 ,,,
11/10/2000,, 36.1 , 37.6 ,2,2,2," 7,906.9 ", 37.6 , 37.6 , 29 , 29 ," 7,898 ", 1.50 ,,,
11/13/2000,, 37.6 , 39.2 ,2,2,2," 7,908.5 ", 39.2 , 39.2 , 31 , 31 ," 7,900 ", 1.60 ,,,
11/16/2000,, 39.2 , 40.7 ,2,2,2," 7,910.0 ", 40.7 , 40.7 , 33 , 33 ," 7,902 ", 1.50 ,,,
11/20/2000,, 40.7 , 47.8 ,6,6,6," 7,917.1 ", 47.8 , 47.8 , 39 , 39 ," 7,908 ", 7.10 ,,,
11/23/2000,, 47.8 , 49.4 ,2,2,2," 7,918.7 ", 49.4 , 49.4 , 41 , 41 ," 7,910 ", 1.60 ,,,
11/27/2000,, 49.4 , 50.9 ,2,2,2," 7,920.2 ", 50.9 , 50.9 , 43 , 43 ," 7,912 ", 1.50 ,,,
11/30/2000,, 50.9 , 52.4 ,2,2,2," 7,921.7 ", 52.4 , 52.4 , 45 , 45 ," 7,914 ", 1.50 ,,,
12/11/2000,, 52.4 , 54.1 ,2,2,2," 7,923.4 ", 54.1 , 54.1 , 47 , 47 ," 7,916 ", 1.70 ,,,
12/30/2000,, 54.1 , 61.5 ,4,4,4," 7,930.8 ", 61.5 , 61.5 , 51 , 51 ," 7,920 ", 7.40 ,,,
1/16/2001,, 61.5 , 71.5 ,2,2,2," 7,940.8 ", 71.5 , 71.5 , 53 , 53 ," 7,922 ", 10.00 ,,,
1/17/2001,, 71.5 , 76.6 ,3,3,3," 7,945.9 ", 76.6 , 76.6 , 56 , 56 ," 7,925 ", 5.10 ,,,
1/19/2001,, 76.6 , 79.6 ,3,3,3," 7,948.9 ", 79.6 , 79.6 , 59 , 59 ," 7,928 ", 3.00 ,,,
1/22/2001,, 79.6 , 81.1 ,2,2,2," 7,950.4 ", 81.1 , 81.1 , 61 , 61 ," 7,930 ", 1.50 ,,,
1/24/2001,, 81.1 , 82.6 ,2,2,2," 7,951.9 ", 82.6 , 82.6 , 63 , 63 ," 7,932 ", 1.50 ,,,
2/5/2001,, 82.6 , 84.1 ,2,2,2," 7,953.4 ", 84.1 , 84.1 , 65 , 65 ," 7,934 ", 1.50 ,,,
2/7/2001,, 84.1 , 85.6 ,2,2,2," 7,954.9 ", 85.6 , 85.6 , 67 , 67 ," 7,936 ", 1.50 ,,,
2/18/2001,, 85.6 , 87.6 ,3,3,3," 7,956.9 ", 87.6 , 87.6 , 70 , 70 ," 7,939 ", 2.00 ,,,
3/10/2001,, 87.6 , 98.6 ,2,2,2," 7,967.9 ", 98.6 , 98.6 , 72 , 72 ," 7,941 ", 11.00 ,,,
3/17/2001,, 98.6 , 104.1 ,2,2,2," 7,973.4 ", 104.1 , 104.1 , 74 , 74 ," 7,943 ", 5.50 ,,,
3/21/2001,, 104.1 , 106.9 ,4,4,4," 7,976.2 ", 106.9 , 106.9 , 78 , 78 ," 7,947 ", 2.80 ,,,
3/30/2001,, 106.9 , 107.6 ,1,1,1," 7,976.9 ", 107.6 , 107.6 , 79 , 79 ," 7,948 ", 0.70 ,,,
4/6/2001,, 107.6 , 117.6 ,6,6,6," 7,986.9 ", 117.6 , 117.6 , 85 , 85 ," 7,954 ", 10.00 ,,,
4/12/2001,, 117.6 , 127.3 ,2,2,2," 7,996.6 ", 127.3 , 127.3 , 87 , 87 ," 7,956 ", 9.70 ,,,
4/19/2001,, 127.3 , 134.5 ,7,7,7," 8,003.8 ", 134.5 , 134.5 , 94 , 94 ," 7,963 ", 7.20 ,,,
5/8/2001,, 134.5 , 136.1 ,2,2,2," 8,005.4 ", 136.1 , 136.1 , 96 , 96 ," 7,965 ", 1.60 ,,,
5/12/2001,, 136.1 , 142.3 ,3,3,3," 8,011.6 ", 142.3 , 142.3 , 99 , 99 ," 7,968 ", 6.20 ,,,
5/22/2001,, 142.3 , 145.3 ,3,3,3," 8,014.6 ", 145.3 , 145.3 , 102 , 102 ," 7,971 ", 3.00 ,,,
5/23/2001,, 145.3 , 147.4 ,2,2,2," 8,016.7 ", 147.4 , 147.4 , 104 , 104 ," 7,973 ", 2.10 ,,,
5/31/2001,, 147.4 , 149.8 ,4,4,4," 8,019.1 ", 149.8 , 149.8 , 108 , 108 ," 7,977 ", 2.40 ,,,
,, 149.8 , 151.2 ,2,2,2," 8,020.5 ", 151.2 , 151.2 , 110 , 110 ," 7,979 ", 1.40 ,,,
6/6/2001,, 151.2 , 152.8 ,2,2,2," 8,022.1 ", 152.8 , 152.8 , 112 , 112 ," 7,981 ", 1.60 ,,,
6/10/2001,, 152.8 , 154.8 ,3,3,3," 8,024.1 ", 154.8 , 154.8 , 115 , 115 ," 7,984 ", 2.00 ,,,
6/18/2001,, 154.8 , 156.4 ,2,2,2," 8,025.7 ", 156.4 , 156.4 , 117 , 117 ," 7,986 ", 1.60 ,,,
6/25/2001,, 156.4 , 158.3 ,2,2,2," 8,027.6 ", 158.3 , 158.3 , 119 , 119 ," 7,988 ", 1.90 ,,,
6/28/2001,, 158.3 , 164.2 ,4,4,4," 8,033.5 ", 164.2 , 164.2 , 123 , 123 ," 7,992 ", 5.90 ,,,
7/3/2001,, 164.2 , 169.7 ,5,5,5," 8,039.0 ", 169.7 , 169.7 , 128 , 128 ," 7,997 ", 5.50 ,,,
7/6/2001,, 169.7 , 171.2 ,2,2,2," 8,040.5 ", 171.2 , 171.2 , 130 , 130 ," 7,999 ", 1.50 ,,,
